Eurrhypis cacuminalis
Eurrhypis pollinalis
Eurrhypis sartalis
Eusphecia melanocephala
Eusphecia pimplaeformis
Euspilapteryx auroguttella
Euthrix potatoria
Euxoa aquilina
Euxoa basigramma
Euxoa birivia
Euxoa christophi
Euxoa conspicua
Euxoa cos
Euxoa distinguenda
Euxoa emolliens
Euxoa foeda
Euxoa hastifera
Euxoa homicida
Euxoa lidia
Euxoa mustelina
Euxoa vitta
Euzopherodes charlottae
Euzopherodes lutisignella
Euzopherodes vapidella
Filatima spurcella
Flame shoulder
Furcula bicuspis
Gastropacha populifolia
Gastropacha quercifolia
Gelechia sabinellus
Gelechia senticetella
Gesneria centuriella
Godonela aestimaria
Gothic (moth)
Grapholita pallifrontana
Green pug
Grey chi
Gymnoscelis dearmata
Gypsonoma aceriana
Haplotinea ditella
Haplotinea insectella
Harpyia milhauseri
Hecatera cappa
Hedya ochroleucana
Hedya pruniana
Hedya salicella
Heliothela wulfeniana
Heliothis maritima
Heliothis ononis
Heliothis viriplaca
Hemaris croatica
Hemaris dentata
Hemaris syra
Hemistola chrysoprasaria
Herminia tarsicrinalis
Holcopogon bubulcellus
Homoeosoma achroeella
Homoeosoma calcella
Homoeosoma inustella
Homoeosoma nimbella
Homoeosoma sinuella
Hoplodrina octogenaria
Hoplodrina respersa
Hoplodrina superstes
Horisme corticata
Horisme tersata
Horisme vitalbata
Hornet moth
Hydriomena furcata
Hydriomena ruberata
Hyles centralasiae
Hyles hippophaes
Hyles nicaea
Hyles vespertilio
Hyles zygophylli
Hypatopa inunctella
Hypena obesalis
Hypena rostralis
Hypenodes anatolica
Hypenodes kalchbergi
Hypenodes orientalis
Hypercallia citrinalis
Hyperlais dulcinalis
Hyperlais nemausalis
Hyperlais siccalis
Hyphoraia aulica
Hypotia corticalis
Hypotia massilialis
Hypoxystis pluviaria
Hyppa rectilinea
Hypsopygia costalis
Hypsotropa ichorella
Hypsotropa limbella
Hypsotropa vulneratella
Idia calvaria
Indianmeal moth
Ipimorpha retusa
Ipimorpha subtusa
Isophrictis anthemidella
Isturgia arenacearia
Itame vincularia
Jodia croceago
Jodis lactearia
Jordanita chloronota
Jordanita hector
Jordanita syriaca
Juniper carpet
Katha depressa
Keradere noctivaga
Lacanobia blenna
Lacanobia thalassina
Lacanobia w-latinum
Lamoria anella
Lamoria ruficostella
Lamprosticta culta
Larentia clavaria
Large emerald
Lasiocampa quercus
Lasiocampa trifolii
Lasionycta draudti
Lasionycta proxima
Laspeyria flexula
Lathronympha strigana
Lemonia balcanica
Lemonia ballioni
Lemonia dumi
Lemonia pauli
Leucania obsoleta
Leucania palaestinae
Leucania punctosa
Leucania putrescens
Leucania zeae
Leucoma salicis
Lithophane ornitopus
Lithophane semibrunnea
Lithophane socia
Lithostege farinata
Lithostege griseata
Lobesia porrectana
Lobophora halterata
Loxostege comptalis
Lycia pomonaria
Lycia zonaria
Lygephila craccae
Lygephila lusoria
Lygephila pallida
Lygephila pastinum
Lygephila viciae
Lythria cruentaria
Lythria purpuraria
Macaria signaria
Malacosoma alpicolum
Malacosoma castrense
Malacosoma franconicum
Mallosia imperatrix
Manulea costalis
Manulea lutarella
Manulea palliatella
Manulea pseudocomplana
Manulea pygmaeola
Marasmarcha ehrenbergianus
Marumba quercus
Mecyna asinalis
Mecyna flavalis
Mecyna lutealis
Mecyna trinalis
Mediterranean flour moth
Megacraspedus argyroneurellus
Megacraspedus attritellus
Megacraspedus separatellus
Megalophanes viciella
Meganephria bimaculosa
Megasis rippertella
Melanthia procellata
Menophra abruptaria
Merulempista cingillella
Mesogona acetosellae
Mesogona oxalina
Mesoligia furuncula
Mesophleps trinotella
Metachrostis velocior
Metacrambus carectellus
Metallosticha argyrogrammos
Metallostichodes nigrocyanella
Metallostichodes vinaceella
Metalopha gloriosa
Metalopha liturata
Metanarsia modesta
Metasia ophialis
Metopoceras delicata
Metopoceras omar
Metriotes lutarea
Metzneria aestivella
Metzneria aprilella
Metzneria ehikeella
Metzneria intestinella
Metzneria metzneriella
Metzneria paucipunctella
Metzneria tenuiella
Micriantha decorata
Micropterix maschukella
Microsphecia brosiformis
Microsphecia tineiformis
Micrurapteryx kollariella
Millieria
Minoa murinata
Minor shoulder-knot
Moitrelia obductella
Moitrelia thymiella
Moma alpium
Monochroa lutulentella
Monochroa tenebrella
Monopis imella
Monopis laevigella
Mormo maura
Morophaga choragella
Muscula muscula
Myelois cribratella
Myelois fuscicostella
Mylothra pyrrhella
Myrlaea albistrigata
Narraga fasciolaria
Nascia cilialis
Negotinthia hoplisiformis
Negotinthia myrmosaeformis
Neocrambus
Neofaculta ericetella
Neofriseria sceptrophora
Neosphaleroptera
Niditinea fuscella
Niphonympha dealbatella
Nodaria nodosalis
Nola subchlamydula
Nothris verbascella
Notocelia cynosbatella
Notocelia roborana
Nudaria mundana
Nyctegretis lineana
Nyctegretis ruminella
Nyctegretis triangulella
Nycteola asiatica
Nymphula nitidulata
Oak hook-tip
Ocneria detrita
Odice suava
Oecophora bractella
Olethreutes arcuella
Oligia latruncula
Olindia schumacherana
Omphalophana anatolica
Omphalophana antirrhinii
Omphalophana durnalayana
Omphalophana pauli
Operophtera fagata
Opigena polygona
Opostega salaciella
Opostega spatulella
Orange swift
Orgyia antiqua
Ornativalva heluanensis
Ornativalva plutelliformis
Orthotaenia undulana
Osminia fenusaeformis
Oxyptilus parvidactyla
Oxyptilus pilosellae
Pachetra sagittigera
Pachyagrotis tischendorfi
Pachycnemia hippocastanaria
Pachypasa otus
Palumbina guerinii
Pammene amygdalana
Pammene fasciana
Pammene regiana
Pancalia leuwenhoekella
Pancalia nodosella
Panthea coenobita
Papestra biren
Paracolax tristalis
Paracossulus thrips
Parahypopta caestrum
Paralipsa gularis
Paramaxillaria meretrix
Paranthrene insolita
Parascotia fuliginaria
Parastichtis suspecta
Paraswammerdamia lutarea
Paratalanta cultralis
Paratalanta pandalis
Pareulype berberata
Paropta paradoxus
Pasiphila chloerata
Patania ruralis
Pelochrista medullana
Pelosia obtusa
Pelurga comitata
Pempelia albariella
Pempelia amoenella
Pempelia brephiella
Pempelia cirtensis
Pempelia johannella
Pempelia palumbella
Pempeliella ornatella
Pempeliella sororiella
Pennisetia hylaeiformis
Perconia strigillaria
Peridea anceps
Perigrapha i-cinctum
Perisomena caecigena
Perizoma blandiata
Phaiogramma etruscaria
Phalonidia contractana
Pheosia tremula
Phibalapteryx virgata
Philereme transversata
Philereme vetulata
Phlogophora scita
Photedes captiuncula
Phragmataecia albida
Phragmataecia castaneae
Phragmatobia fuliginosa
Phycita coronatella
Phycita meliella
Phycita metzneri
Phycita pedisignella
Phycita poteriella
Phycita strigata
Phycitodes albatella
Phycitodes lacteella
Phycitodes saxicola
Phyllocnistis unipunctella
Phyllodesma tremulifolium
Phytometra viridaria
Pima boisduvaliella
Pine beauty
Pink bollworm
Platyptilia calodactyla
Platyptilia chondrodactyla
Platyptilia gonodactyla
Plecoptera inquinata
Plemyria rubiginata
Plutella porrectella
Polia bombycina
Polia nebulosa
Polymitia eximipalpella
Polymixis polymita
Polyocha venosa
Polypogon plumigeralis
Polypogon tentacularia
Poplar kitten
Porrittia galactodactyla
Prays fraxinella
Prays oleae
Procapperia maculatus
Prochoreutis myllerana
Prochoreutis sehestediana
Prochoreutis stellaris
Prolita solutella
Prorophora albunculella
Psammotis pulveralis
Pseudatemelia flavifrontella
Pseudeustrotia candidula
Pseudopanthera macularia
Pseudopostega auritella
Pseudopostega crepusculella
Pseudoswammerdamia combinella
Pseudotelphusa scalella
Psoricoptera gibbosella
Psorosa dahliella
Psorosa nucleolella
Psorosa ochrifasciella
Psyche casta
Psyche crassiorella
Psyche rassei
Pterolonche inspersa
Ptilocephala plumifera
Ptocheuusa paupella
Ptycholoma lecheana
Purple thorn
Pyla fusca
Pyralis kacheticalis
Pyralis perversalis
Pyralis regalis
Pyrocleptria cora
Pyroderces argyrogrammos
Pyropteron affine
Pyropteron chrysidiforme
Pyropteron leucomelaena
Pyropteron mannii
Pyropteron minianiforme
Pyropteron triannuliformis
Pyrrhia victorina
Raphimetopus ablutella
Reisseronia flavociliella
Resapamea hedeni
Rethera brandti
Rhagades amasina
Rhegmatophila alpina
Rheumaptera cervinalis
Rheumaptera undulata
Rhodophaea
Rhodostrophia calabra
Rhopobota myrtillana
Rhyacia arenacea
Rhyacia lucipeta
Rhyacia simulans
Rhyacionia pinicolana
Rhyparia purpurata
Rivetina asiatica
Rivula tanitalis
Rusina ferruginea
Saga pedo
Saluria maculivittella
Saragossa siccanorum
Sauterina hofmanniella
Schrankia taenialis
Schreckensteinia festaliella
Scoparia ambigualis
Scoparia basistrigalis
Scoparia ingratella
Scoparia perplexella
Scotomera caesarealis
Scrobipalpa artemisiella
Scrobipalpa bryophiloides
Scrobipalpa ergasima
Scrobipalpa heretica
Scrobipalpa obsoletella
Scrobipalpula psilella
Scythris limbella
Selagia spadicella
Selagia subochrella
Selania leplastriana
Selenia lunularia
Semitocossus johannes
Sesamia cretica
Sesamia nonagrioides
Sesia bembeciformis
Setina roscida
